Time rel [s],Day rel [d],Time rel [hh:mm:ss],Date abs [yyyy-mm-dd],Time abs [hh:mm:ss],ActivityClass [],Altitude [m],BodyPosition [],EdaArousalMean [],EdaSclMean [uS],EdaScrAmplitudesMean [uS],EdaScrCount [],EdaScrEnergiesMean [uSs],EdaScrHalfRecoveryTimesMean [s],EdaScrRiseTimesMean [s],InclinationDown [deg],InclinationForward [deg],InclinationRight [deg],MovementAcceleration [g],NonWearTime [],StepCount [steps],TempMean [],VerticalSpeed [m/s],temp [Grad Celsius],Markers,Segment id,
55,0,00:00:55,2023-07-11,16:51:32,7,98.02574264,2,0.242000583,7.997451079,0,0,0,0,0,68.49360807,60.71164308,37.68553324,0.256615378,0,1,28.8,-0.021128505,28.8,,2,
56,0,00:00:56,2023-07-11,16:51:33,7,98.00483197,5,0.188470244,7.689953189,0,0,0,0,0,134.9807854,80.22386354,46.63360657,0.216081171,0,1,28.8,-0.021494348,28.8,,2,
57,0,00:00:57,2023-07-11,16:51:34,7,98.01234919,5,0.146780774,7.499621546,0,0,0,0,0,134.9807854,80.22386354,46.63360657,0.4924955,0,1,28.8,-0.02124025,28.8,,2,
58,0,00:00:58,2023-07-11,16:51:35,7,98.06305338,5,0.114312981,7.402218675,0,0,0,0,0,134.9807854,80.22386354,46.63360657,0.499786924,0,1,28.8,-0.02054127,28.8,,2,
59,0,00:00:59,2023-07-11,16:51:36,7,98.13664587,5,0.089027039,7.406368917,0,0,0,0,0,134.9807854,80.22386354,46.63360657,0.413981441,0,0,28.8,-0.019450578,28.8,,2,
60,0,00:01:00,2023-07-11,16:51:37,7,98.1885229,2,0.448086969,7.570856671,0.877967137,1,0.466420041,1.4375,1.0625,110.6240491,86.59195979,20.92929893,0.125891314,0,0,28.8,-0.018155373,28.8,,3,
61,0,00:01:01,2023-07-11,16:51:38,7,98.18970392,2,0.766406337,7.896621155,0,0,0,0,0,110.6240491,86.59195979,20.92929893,0.148822535,0,0,28.8,-0.01668973,28.8,,3,
62,0,00:01:02,2023-07-11,16:51:39,7,98.13324216,2,0.596877855,8.25898663,0,0,0,0,0,110.6240491,86.59195979,20.92929893,0.233204883,0,0,28.8,-0.014739258,28.8,,3,
63,0,00:01:03,2023-07-11,16:51:40,7,98.03148842,2,0.464848941,8.36988722,0,0,0,0,0,110.6240491,86.59195979,20.92929893,0.313085967,0,0,28.8,-0.012015173,28.8,,3,
64,0,00:01:04,2023-07-11,16:51:41,7,97.92142727,1,0.362024719,8.247315017,0,0,0,0,0,84.284805,31.85213911,58.78519698,0.275510645,0,0,28.8,-0.008684311,28.8,,3,
65,0,00:01:05,2023-07-11,16:51:42,7,97.84241272,1,0.281945135,7.995527802,0,0,0,0,0,84.284805,31.85213911,58.78519698,0.181867621,0,0,28.8,-0.005706667,28.8,,3,
66,0,00:01:06,2023-07-11,16:51:43,7,97.80770472,1,0.219579092,7.740702052,0,0,0,0,0,84.284805,31.85213911,58.78519698,0.131989212,0,0,28.8,-0.004462153,28.8,,3,
67,0,00:01:07,2023-07-11,16:51:44,7,97.80330712,1,0.171008369,7.533005936,0,0,0,0,0,84.284805,31.85213911,58.78519698,0.237751396,0,1,28.8,-0.005757903,28.8,,3,
68,0,00:01:08,2023-07-11,16:51:45,7,97.80161781,1,0.133181451,7.385155436,0,0,0,0,0,87.10310257,33.37148216,56.78799616,0.346609846,0,1,28.8,-0.009618642,28.8,,3,
69,0,00:01:09,2023-07-11,16:51:46,7,97.79311134,1,0.103721819,7.298307293,0,0,0,0,0,87.10310257,33.37148216,56.78799616,0.376271165,0,1,28.8,-0.015538669,28.8,,3,
70,0,00:01:10,2023-07-11,16:51:47,7,97.7882404,1,0.080778634,7.265895482,0,0,0,0,0,87.10310257,33.37148216,56.78799616,0.184967888,0,1,28.8,-0.021843913,28.8,,3,
71,0,00:01:11,2023-07-11,16:51:48,7,97.78926913,1,0.154869042,7.291009942,0.286018456,1,0.16535442,0,1.15625,87.10310257,33.37148216,56.78799616,0.251347937,0,1,28.8,-0.027066155,28.8,,3,
72,0,00:01:12,2023-07-11,16:51:49,7,97.79077556,1,0.253674797,7.359060827,0,0,0,0,0,83.18172229,29.66977181,61.27850667,0.253360379,0,1,28.8,-0.031150217,28.8,,3,
73,0,00:01:13,2023-07-11,16:51:50,7,97.79217273,1,0.271116199,7.45997936,0.308656359,1,0.192910225,1.59375,1.25,83.18172229,29.66977181,61.27850667,0.18790626,0,2,28.8,-0.034653744,28.8,,3,
74,0,00:01:14,2023-07-11,16:51:51,7,97.79672779,1,0.259410964,7.559983712,0,0,0,0,0,83.18172229,29.66977181,61.27850667,0.240875559,0,1,28.8,-0.037452059,28.8,,3,
75,0,00:01:15,2023-07-11,16:51:52,7,97.81101467,1,0.202029462,7.652807135,0,0,0,0,0,83.18172229,29.66977181,61.27850667,0.143947057,0,1,28.8,-0.038689882,28.8,,3,
76,0,00:01:16,2023-07-11,16:51:53,7,97.84339079,1,0.157340703,7.740870709,0,0,0,0,0,87.22824623,32.58885606,57.5589414,0.161036264,0,1,28.8,-0.037816377,28.8,,3,
77,0,00:01:17,2023-07-11,16:51:54,7,97.89441302,1,0.122537063,7.998858854,0,0,0,0,0,87.22824623,32.58885606,57.5589414,0.245621123,0,1,28.8,-0.035104656,28.8,,3,
78,0,00:01:18,2023-07-11,16:51:55,7,97.95311501,1,0.09543196,8.204612315,0,0,0,0,0,87.22824623,32.58885606,57.5589414,0.183909968,0,1,28.8,-0.031368584,28.8,,3,
79,0,00:01:19,2023-07-11,16:51:56,7,97.99550506,1,0.074322485,8.232115049,0,0,0,0,0,87.22824623,32.58885606,57.5589414,0.171380618,0,2,28.8,-0.027787741,28.8,,3,
80,0,00:01:20,2023-07-11,16:51:57,7,97.99308248,1,0.05788241,8.121778326,0,0,0,0,0,80.64633984,31.68526532,60.03473325,0.228825814,0,1,28.8,-0.025592028,28.8,,4,
81,0,00:01:21,2023-07-11,16:51:58,7,97.93107686,1,0.097766112,7.926870744,0.113770954,1,0.055107806,1.75,0.96875,80.64633984,31.68526532,60.03473325,0.24058242,0,2,28.8,-0.02504485,28.8,,4,
82,0,00:01:22,2023-07-11,16:51:59,7,97.80046957,1,0.091913447,7.739976621,0,0,0,0,0,80.64633984,31.68526532,60.03473325,0.16084521,0,1,28.8,-0.025412525,28.8,,4,
83,0,00:01:23,2023-07-11,16:52:00,7,97.6041876,1,0.071582264,7.602322207,0,0,0,0,0,80.64633984,31.68526532,60.03473325,0.175840149,0,2,28.8,-0.025664993,28.8,,4,
